Species,Brain Mass,Order,Beta,Alpha,GI,
Hyaena,175,Carnivora,,,1.74,"Measured GI = 1.74 from Pillay & Manger (2007), DOI:10.1111/j.1460-9568.2007.05524.x"
Hyrax,19.47,Other,0.1,1.087169496,1.462964721,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
IndHogDeer,150,Artiodactyla,0.11,1.24179071,2.154856951,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.24, β=0.11. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
JungleCat,30,Carnivora,0.1,1.087169496,1.527599064,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Koala,20,Other,0.1,1.087169496,1.466899153,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Lama,120,Perissodactyla,0.12,0.9746330733,1.731182663,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=0.97, β=0.12. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
LemurCatta,25,Primates,,,1.46,"Measured GI = 1.46 from Zilles et al. (2013), DOI:10.1016/j.tins.2013.01.006"
Leopard,135,Carnivora,0.1,1.087169496,1.775540713,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Lycaon,150,Other,,,1.8,"Measured GI = 1.80 from Pillay & Manger (2007), DOI:10.1111/j.1460-9568.2007.05524.x"
Macaque,90,Primates,,,1.75,"Measured GI = 1.75 from Zilles et al. (2013), DOI:10.1016/j.tins.2013.01.006"
MacaqueBlack,90,Primates,0.13,1.011486925,1.815564989,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.01, β=0.13. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
MacaqueLionTail,90,Primates,0.13,1.011486925,1.815564989,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.01, β=0.13. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
MacaquePT,90,Primates,0.13,1.011486925,1.815564989,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.01, β=0.13. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Mandrill,150,Primates,,,2.27,"Measured GI = 2.27 from Zilles et al. (2013), DOI:10.1016/j.tins.2013.01.006"
Mangebi,80,Other,0.1,1.087169496,1.685024644,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Mara,20,Rodentia,0.07,1.000269898,1.233642433,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.00, β=0.07. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
